#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-24T21:53:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61256a173627ec	
#INFO	-out.max=100	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=100
#-order=I
#-nav=cat:J/MNRAS/486/2995&tab:{J/MNRAS/486/2995/table2}&key:source=J/MNRAS/486/2995&HTTPPRM:&&-ref=VIZ61256a173627ec&-out.max=100&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=J/MNRAS/486/2995/table2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=RAJ2000&-out=DEJ2000&-out=Gmag0&-out=(GBP-GRP)0&-out=Vlos&-out=e_Vlos&-out=[Fe/H]&-out=e_[Fe/H]&-out=Source&-out=Pmember&-out=SimbadName&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/MNRAS/486/2995/table2
#-source=J/MNRAS/486/2995/table2
#-out=RAJ2000
#-out=DEJ2000
#-out=Gmag0
#-out=(GBP-GRP)0
#-out=Vlos
#-out=e_Vlos
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=Source
#-out=Pmember
#-out=SimbadName
#
#RESOURCE=yCat_74862995
#Name: J/MNRAS/486/2995
#Title: GD-1 stellar stream (Malhan+, 2019)
#Table	J_MNRAS_486_2995_table2:
#Name: J/MNRAS/486/2995/table2
#Title: GD-1 star members with measured line-of-sight velocities from SEGUE and LAMOST
#Column	RAJ2000	(F9.5)	Right ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	Gmag0	(F5.2)	Extinction corrected Gaia magnitude G (2)	[ucd=phot.mag;arith.diff]
#Column	(GBP-GRP)0	(F5.2)	Extinction corrected Gaia color GBP-GRP (2)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	Vlos	(F7.2)	Observed line of sight velocities	[ucd=phys.veloc]
#Column	e_Vlos	(F5.2)	Uncertainties in observed line of sight velocities	[ucd=stat.error]
#Column	[Fe/H]	(F8.2)	? Observed metallicities	[ucd=phys.abund.Fe]
#Column	e_[Fe/H]	(F8.2)	? Uncertainties in observed metallicities	[ucd=stat.error;phys.abund.Fe]
#Column	Source	(A3)	[LS- ] Whether source is from SDSS/SEGUE or LAMOST survey	[ucd=meta.code]
#Column	Pmember	(A1)	[YN] Membership probability	[ucd=stat.probability]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	Gmag0	(GBP-GRP)0	Vlos	e_Vlos	[Fe/H]	e_[Fe/H]	Source	Pmember	SimbadName
146.10876	+32.80852	17.00	 0.89	 -25.64	29.13	   -1.92	    0.31	L  	Y	Gaia DR2 793947867427047552
148.02712	+36.49139	17.32	 0.81	  90.36	 8.53	   -0.75	    0.27	L  	N	Gaia DR2 796495470228472064
149.18280	+38.44615	15.85	 0.87	  38.08	 5.40	   -0.23	    0.16	L  	N	Gaia DR2 797130713071408896
151.24928	+37.99899	17.04	 0.85	 -33.15	 4.71	   -2.32	    0.08	S-L	Y	Gaia DR2 802157439717003776
151.83343	+39.26994	17.73	 0.62	 -24.39	 7.36	   -2.48	    0.02	S  	Y	Gaia DR2 803361336230087936
152.58311	+39.75448	16.93	 0.85	 -29.39	 4.41	   -2.34	    0.03	S  	Y	Gaia DR2 803478571657356416
152.96845	+41.89416	17.52	 0.72	 -61.26	25.62	   -1.87	    0.60	L  	Y	Gaia DR2 805361927697166976
153.20614	+42.02298	19.20	 0.67	 -53.30	 9.33	   -2.43	    0.05	S  	Y	Gaia DR2 805446521373423616
153.28329	+42.41350	18.46	 0.63	 -51.90	 7.46	   -2.81	    0.06	S  	Y	Gaia DR2 805513969539318656
153.43135	+41.70133	16.83	 0.73	   2.65	21.91	   -1.22	    0.56	L  	Y	Gaia DR2 805248373061210880
154.02419	+42.40728	17.56	 0.67	  61.05	 4.91	   -1.66	    0.06	S  	N	Gaia DR2 805478755105484800
154.22199	+42.67408	17.91	 0.59	 -67.04	 4.81	   -1.94	    0.07	S  	Y	Gaia DR2 805488886930945792
154.89069	+41.50661	17.95	 0.63	 -66.39	 5.75	   -2.36	    0.01	S  	Y	Gaia DR2 804436551223805568
154.96568	+41.45040	18.62	 0.64	 -76.97	 8.15	   -2.06	    0.09	S  	Y	SDSS J101951.76+412701.5
155.17038	+43.60641	17.78	 0.70	 -64.51	 4.17	   -2.03	    0.06	S  	Y	Gaia DR2 805927493288911232
155.27725	+42.36248	18.22	 0.88	  11.69	 3.90	   -0.96	    0.04	S  	N	Gaia DR2 805618423144342400
155.52019	+42.02739	17.25	 0.83	 -59.83	 4.05	   -2.43	    0.05	S  	Y	Gaia DR2 804846226686410368
156.06459	+43.71198	18.52	 0.68	 -24.43	 6.46	   -1.80	    0.04	S  	N	Gaia DR2 805846056410645760
156.14586	+42.49122	19.02	 0.65	 -77.05	13.66	   -2.11	    0.04	S  	Y	Gaia DR2 804958033274305152
156.27777	+42.52327	18.57	 0.63	 -78.95	 6.94	   -2.37	    0.12	S  	Y	Gaia DR2 804957651015482240
156.47021	+43.40223	19.08	 0.66	-100.05	12.02	   -2.06	    0.08	S  	Y	Gaia DR2 805771805016584320
157.18150	+44.51432	18.53	 0.61	 -85.03	 6.84	   -2.15	    0.00	S  	Y	SDSS J102843.57+443051.6
157.54944	+43.57302	19.10	 0.64	 -57.75	10.23	   -2.16	    0.05	S  	Y	Gaia DR2 829051386753964288
157.56577	+43.64328	18.46	 0.60	 -87.09	 5.95	   -2.28	    0.10	S  	Y	SDSS J103015.78+433835.9
157.65600	+43.79757	18.55	 0.63	 -78.60	 6.96	   -2.39	    0.06	S  	Y	Gaia DR2 829069837933572608
158.05127	+43.64399	18.13	 0.61	 -82.07	 5.22	   -1.98	    0.09	S  	Y	SDSS J103212.31+433838.4
158.29459	+44.04594	18.47	 0.59	-100.06	 9.12	   -2.12	    0.04	S  	Y	Gaia DR2 829158932735009024
158.38406	+44.43005	19.06	 0.64	 -82.69	 8.11	   -2.02	    0.08	S  	Y	Gaia DR2 829185080496114048
158.43704	+44.46635	18.06	 0.58	 -91.29	 4.97	   -2.47	    0.07	S  	Y	SDSS J103344.89+442759.0
158.46584	+44.45076	17.31	 0.61	 -78.78	 7.45	   -2.32	    0.08	S  	Y	Gaia DR2 829185359674247808
158.62239	+44.42724	19.09	 0.69	-101.52	10.18	   -2.35	    0.06	S  	Y	Gaia DR2 829196251711307008
158.70059	+44.53036	17.89	 0.63	 -87.15	 4.44	   -2.32	    0.02	S  	Y	SDSS J103448.14+443149.4
158.74721	+44.68673	16.33	 0.90	 -88.58	 2.62	   -2.29	    0.03	S  	Y	2MASS J10345934+4441124
159.02932	+44.63542	18.45	 0.66	-100.75	 6.26	   -2.21	    0.08	S  	Y	Gaia DR2 829205627619756160
159.04922	+45.13746	19.49	 0.71	-112.40	13.50	   -1.74	    0.36	S  	Y	Gaia DR2 830353105441826304
159.26390	+44.76318	18.52	 0.61	 -87.58	 6.72	   -2.07	    0.08	S  	Y	Gaia DR2 829579186694925696
160.02473	+45.67603	15.94	 0.94	 -94.04	 2.05	   -1.88	    0.04	S-L	Y	Gaia DR2 829645264771612800
160.10757	+45.97904	17.59	 0.68	 -11.90	15.59	   -1.02	    0.41	L  	N	Gaia DR2 830497691221569920
160.86167	+45.40456	18.18	 0.79	 109.38	 3.63	   -1.25	    0.04	S  	N	Gaia DR2 829661650067166464
162.05280	+47.14538	14.42	 1.04	-115.37	 2.29	   -2.19	    0.05	S-L	Y	Gaia DR2 832080270707721088
162.30323	+48.61745	17.81	 0.66	  91.94	 3.64	   -1.69	    0.05	S  	N	Gaia DR2 832533299560731520
162.37147	+47.20760	18.66	 0.61	-118.34	 6.92	   -2.41	    0.09	S  	Y	SDSS J104929.16+471227.4
162.54721	+46.99090	19.20	 0.70	-118.73	12.19	   -1.78	    0.08	S  	Y	SDSS J105011.33+465927.3
162.79514	+47.10602	19.20	 0.65	-111.86	 9.56	   -2.33	    0.07	S  	Y	Gaia DR2 831411247944685312
163.15910	+48.48630	18.78	 0.64	-124.92	 7.23	   -1.68	    0.06	S  	Y	Gaia DR2 832305769373642624
163.18610	+46.61305	19.36	 0.83	  82.63	 6.43	   -0.82	    0.05	S  	N	Gaia DR2 831149598537057280
163.23632	+47.39661	19.07	 0.58	 -96.95	 9.15	   -2.35	    0.05	S  	Y	Gaia DR2 831422414859787392
163.44524	+48.93615	17.86	 0.70	 206.40	 4.23	   -3.06	    0.06	S  	N	SDSS J105346.87+485610.2
163.64863	+48.51435	18.73	 0.64	-130.14	 6.78	   -2.31	    0.07	S  	Y	Gaia DR2 832298558124143360
163.71205	+48.33377	18.58	 0.66	-135.94	 6.32	   -2.07	    0.10	S  	Y	Gaia DR2 832245845990172416
163.81784	+47.84692	19.22	 0.69	-136.22	 9.53	   -2.51	    0.07	S  	Y	Gaia DR2 831469006665384832
164.28235	+48.84969	17.73	 0.75	  61.09	 3.69	   -1.68	    0.07	S  	N	Gaia DR2 832684417985839872
164.37131	+48.22445	19.20	 0.71	-127.36	 8.79	   -1.91	    0.06	S  	Y	SDSS J105729.11+481328.1
165.19943	+48.66923	17.53	 0.80	-131.51	 3.90	   -2.22	    0.00	S  	Y	2MASS J11004783+4840091
165.61398	+48.45161	18.17	 0.63	  26.88	 4.15	   -1.53	    0.03	S  	N	Gaia DR2 831917882287407360
170.23070	+50.84357	18.05	 0.69	   4.38	 6.61	   -1.27	    0.05	S  	N	Gaia DR2 838527600733576064
176.59255	+53.67448	17.81	 0.72	-203.55	19.03	   -2.05	    0.45	L  	Y	Gaia DR2 840580251503671424
179.74264	+54.88787	17.91	 0.73	-186.01	 6.64	   -2.42	    0.09	S  	Y	Gaia DR2 840759055286431872
180.07874	+53.84065	17.61	 0.78	 -72.61	11.56	   -0.70	    0.27	L  	N	Gaia DR2 1549202095307493376
182.12981	+55.80466	15.85	 0.94	  20.69	13.59	   -1.35	    0.38	L  	N	Gaia DR2 1573678495451576064
183.35549	+54.90970	18.54	 0.67	 -93.75	 5.29	   -2.03	    0.07	S  	N	Gaia DR2 1573486145340280576
183.50962	+54.51746	17.77	 0.65	  96.94	 3.37	   -1.06	    0.01	S  	N	Gaia DR2 1573450101975408640
183.57169	+55.25499	18.89	 0.67	 248.56	 6.87	   -2.29	    0.06	S  	N	Gaia DR2 1573590495865679104
184.14610	+54.86521	18.26	 0.65	  34.89	 3.92	   -1.37	    0.09	S  	N	Gaia DR2 1572734457344523648
184.25378	+56.16647	17.39	 0.70	-196.38	 6.10	   -2.12	    0.02	S  	Y	Gaia DR2 1574414201874118400
184.29585	+54.33517	18.18	 0.63	 -44.98	 4.50	   -1.89	    0.01	S  	N	Gaia DR2 1572685563436585856
184.34813	+55.37453	17.91	 0.60	   8.74	 4.01	   -1.76	    0.08	S  	N	Gaia DR2 1572853513837456000
185.76431	+56.45290	18.94	 0.60	-193.54	17.19	        	        	S  	Y	Gaia DR2 1574469078671384576
189.51827	+56.48813	16.86	 0.86	 -19.88	 9.21	   -0.66	    0.30	L  	N	Gaia DR2 1571657077684041472
190.39074	+55.97861	18.00	 0.63	 -66.03	 7.98	   -1.85	    0.07	S  	N	Gaia DR2 1571421159424398336
196.27251	+58.13282	17.05	 0.90	-246.38	 3.85	   -2.07	    0.02	S  	N	SDSS J130505.41+580758.2
196.65378	+58.47556	18.36	 0.62	  15.56	 5.05	   -1.27	    0.06	S  	N	Gaia DR2 1578662783523507584
198.09273	+58.09610	18.48	 0.62	-241.91	 8.51	   -2.09	    0.08	S  	Y	Gaia DR2 1566603477428369792
218.85350	+58.77478	17.90	 0.84	-303.46	 6.06	   -2.19	    0.02	S  	Y	SDSS J143524.85+584629.3

